Report_ID,Processor_ID,Agreement_ID,Product_ID,Product_Name,Report_Date,Bulk_Inventory_LBS,LBS_Processed_MTD,Allocation_LBS,Target_LBS_MTD,Days_Held_Inventory
PROC_61002_202510_000,PROC_61002,AGR_2025_1000,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,74835.49,14315.51,178302,14858.5,51
PROC_61012_202510_001,PROC_61012,AGR_2025_1001,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,55716.99,10323.01,132100,11008.33,35
PROC_61005_202510_002,PROC_61005,AGR_2025_1002,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,71850.46,1866.04,147473,12289.42,55
PROC_61006_202510_003,PROC_61006,AGR_2025_1003,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,50840.5,9554.0,120849,10070.75,145
PROC_61010_202510_004,PROC_61010,AGR_2025_1004,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,35259.93,4434.57,79469,6622.42,38
PROC_61018_202510_005,PROC_61018,AGR_2025_1005,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,48277.23,7838.77,112332,9361.0,95
PROC_61003_202510_006,PROC_61003,AGR_2025_1006,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,41172.55,6142.95,94751,7895.92,72
PROC_61004_202510_007,PROC_61004,AGR_2025_1007,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,63717.5,7987.5,143550,11962.5,68
PROC_61002_202510_008,PROC_61002,AGR_2025_1008,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,35282.77,7389.73,85505,7125.42,84
PROC_61006_202510_009,PROC_61006,AGR_2025_1009,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,45476.87,5232.13,101598,8466.5,83
PROC_61007_202510_010,PROC_61007,AGR_2025_1010,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,39328.24,8486.76,95830,7985.83,77
PROC_61007_202510_011,PROC_61007,AGR_2025_1011,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,68940.19,11111.31,160323,13360.25,34
PROC_61016_202510_012,PROC_61016,AGR_2025_1012,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,50293.83,13646.67,128121,10676.75,55
PROC_61014_202510_013,PROC_61014,AGR_2025_1013,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,45704.0,3239.5,98147,8178.92,55
PROC_61013_202510_014,PROC_61013,AGR_2025_1014,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,57042.32,1092.18,116549,9712.42,116
PROC_61011_202510_015,PROC_61011,AGR_2025_1015,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,41285.06,11355.94,105582,8798.5,128
PROC_61018_202510_016,PROC_61018,AGR_2025_1016,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,44813.62,1699.88,93347,7778.92,88
PROC_61012_202510_017,PROC_61012,AGR_2025_1017,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,76708.19,7932.31,169621,14135.08,56
PROC_61012_202510_018,PROC_61012,AGR_2025_1018,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,31946.39,8469.61,81192,6766.0,64
PROC_61010_202510_019,PROC_61010,AGR_2025_1019,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,42357.74,8122.26,101340,8445.0,92
PROC_61020_202510_020,PROC_61020,AGR_2025_1020,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,29990.41,4649.59,69680,5806.67,132
PROC_61003_202510_021,PROC_61003,AGR_2025_1021,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,31763.36,6154.14,76255,6354.58,106
PROC_61015_202510_022,PROC_61015,AGR_2025_1022,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,57433.54,7918.96,131145,10928.75,135
PROC_61007_202510_023,PROC_61007,AGR_2025_1023,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,44634.74,3857.26,97444,8120.33,77
PROC_61006_202510_024,PROC_61006,AGR_2025_1024,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,56025.82,2226.68,116985,9748.75,78
PROC_61002_202510_025,PROC_61002,AGR_2025_1025,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,44413.77,6590.23,102508,8542.33,59
PROC_61015_202510_026,PROC_61015,AGR_2025_1026,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,45683.7,9239.3,110366,9197.17,84
PROC_61011_202510_027,PROC_61011,AGR_2025_1027,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,69518.52,15786.98,171151,14262.58,147
PROC_61005_202510_028,PROC_61005,AGR_2025_1028,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,30546.23,4352.27,70357,5863.08,37
PROC_61005_202510_029,PROC_61005,AGR_2025_1029,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,69073.41,2042.09,142811,11900.92,62
PROC_61006_202510_030,PROC_61006,AGR_2025_1030,US_CHICKEN_BR_BULK,Bulk Chicken Breast,2025-10-31,50156.31,1379.69,103672,8639.33,55
PROC_61016_202510_031,PROC_61016,AGR_2025_1031,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,36150.96,6848.54,86619,7218.25,57
PROC_61005_202510_032,PROC_61005,AGR_2025_1032,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,54689.8,4945.7,119911,9992.58,83
PROC_61013_202510_033,PROC_61013,AGR_2025_1033,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,51850.06,1229.94,106820,8901.67,86
PROC_61007_202510_034,PROC_61007,AGR_2025_1034,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,47331.83,9074.67,113493,9457.75,57
PROC_61015_202510_035,PROC_61015,AGR_2025_1035,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,60662.1,1923.9,125872,10489.33,81
PROC_61008_202510_036,PROC_61008,AGR_2025_1036,US_CHEESE_BULK,Bulk Cheddar Cheese,2025-10-31,29399.09,3938.91,67396,5616.33,34
PROC_61001_202510_037,PROC_61001,AGR_2025_1037,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,60537.24,12497.26,146809,12234.08,44
PROC_61015_202510_038,PROC_61015,AGR_2025_1038,US_BEEF_GR_BULK,Bulk Ground Beef,2025-10-31,63741.2,10582.3,149407,12450.58,34
